file,received_replies,timeouts,loss_rate,dups,min_ms,avg_ms,median_ms,p95_ms,p99_ms,max_ms,stdev_ms,jitter_ms,spikes_ge_100ms,spikes_ge_200ms,total_lines
baseline_log.txt,1839,0,0.0,0,16.168,27.767505165851006,27.306,37.33,44.82,205.636,9.95755918065072,6.477169749727965,6,1,1844
match_01.txt,461,3,0.00646551724137931,14,14.721,33.16501301518438,29.797,50.655,94.501,346.4,21.523629226001802,13.232995652173912,4,2,469
match_02.txt,327,13,0.03823529411764706,4,14.832,33.83310397553517,31.613,55.823,67.15,135.508,12.001363615242841,11.758984662576687,1,0,345
match_03.txt,267,5,0.01838235294117647,8,15.168,34.83243820224719,30.416,61.264,183.373,188.193,21.164700036781294,15.325526315789475,5,0,277
match_04.txt,309,25,0.0748502994011976,8,15.045,36.418417475728155,30.554,67.63,157.525,361.006,30.99433970096561,15.446564935064934,12,2,339
match_05.txt,132,1,0.007518796992481203,13,16.971,34.91401515151515,30.85,59.059,171.016,233.039,23.897183295724776,15.721419847328244,3,1,138
